Area,City,Neighborhood,Transaction reference number,Date,Property classification,Property type,Number of properties,Price,Space,Price per square meter
Riyadh region,Riyadh,alsaeada,20297402,7/4/2023,Residential,land,1,656370,306.0,"2,145"
Riyadh region,Riyadh,Al-Awali,20620638,8/10/2023,Residential,apartment,1,435000,123.35,"3,527"
Riyadh region,Riyadh, Arqa ,19803510,4/17/2023,Residential,land,1,38000000,10000.0,"3,800"
Jazan region,Abu Arish, Rawda ,21040586,9/26/2023,Residential,land,1,367857,668.9,550
Makkah Region,Makkah,Batha Quraish,20077382,6/1/2023,Residential,land,1,3714285,1137.25,"3,266"
Hail region,Hail, Al-Wadi ,20678443,8/17/2023,Residential,land,1,121112,410.56,295
Riyadh region,Riyadh,Namar,19939958,5/16/2023,Residential,land,1,900000,330.75,"2,721"
Riyadh region,Riyadh,Mahdia,20764264,8/28/2023,Residential,land,1,1300000,400.0,"3,250"
Hail region,Hail, almadayin ,21089797,9/28/2023,Residential,land,1,150000,595.5,252
Tabuk region,Tabuk,Al-Morouj 1 ,20201174,6/18/2023,Residential,land,1,1000000,750.0,"1,333"
Makkah Region,Jeddah, Miriykh ,20782135,8/30/2023,Residential,apartment,1,685626,203.45,"3,370"
Riyadh region,Riyadh,East of Riyadh,20866136,9/7/2023,Residential,land,1,500000,900.0,556
Riyadh region,Riyadh,Jasmine,20968244,9/17/2023,Residential,apartment,1,959000,146.42,"6,550"
Riyadh region,Riyadh,Hattin,21042257,9/26/2023,Residential,apartment,1,1239000,103.42,"11,980"
Eastern Region,aleuyun, Rabieh ,20135575,6/7/2023,Residential,land,1,382510,659.5,580
Medina region,Alhanakiya, alaistitan ,19696638,4/4/2023,Residential,land,1,365000,500.0,730
Riyadh region,Riyadh,Namar,20048974,5/29/2023,Residential,land,1,445000,432.0,"1,030"
Al-Jawf region,Sakaka, Nasiriyah ,20661864,8/16/2023,Residential,land,1,320000,425.6,752
Riyadh region,Riyadh,Munsiyah,20952860,9/15/2023,Residential,land,1,1512000,360.0,"4,200"
Makkah Region,Makkah,Umm Al-Kattad,20187579,6/14/2023,Residential,apartment,1,679403,184.22,"3,688"
Makkah Region,Taif,Ben Suwailem,19842625,5/3/2023,Residential,land,1,130000,106.7,"1,218"
Riyadh region,Riyadh,Al-Qadisiyah,20600214,8/8/2023,Residential,land,1,1500000,325.0,"4,615"
Riyadh region,Riyadh, Al-Wisam ,20954859,9/16/2023,Residential,land,1,120900,300.0,403
Makkah Region,Jeddah, alzumarud ,19753343,4/10/2023,Residential,land,1,3000000,925.5,"3,241"
Makkah Region,Jeddah,Al-Morouj ,20169395,6/12/2023,Residential,land,1,1000000,707.5,"1,413"
Makkah Region,Jeddah, Al-Murjan ,19842688,5/3/2023,Residential,land,1,2600000,311.8,"8,339"
Makkah Region,Taif, Alsiri,19822093,4/30/2023,Residential,land,1,279000,600.0,465
Riyadh region,Riyadh,Al-Khair,20693185,8/20/2023,Residential,land,1,940000,750.0,"1,253"
Al-Jawf region,Sakaka, Rahmaniyah ,21009644,9/21/2023,Residential,land,1,236021,396.88,595
Riyadh region,Riyadh,Al-Khair,20987462,9/19/2023,Residential,land,1,1380000,800.0,"1,725"
Makkah Region,Jeddah, alsalama ,20699502,8/22/2023,Residential,land,1,4400000,630.0,"6,984"
Qassim region,baridah,alshaqa,20976307,9/18/2023,Residential,land,1,120397,318.51,378
Makkah Region,Jeddah, Al-Marwa ,19849410,5/4/2023,Residential,apartment,1,318500,103.57,"3,075"
Riyadh region,Riyadh,Mahdia,19931543,5/16/2023,Residential,land,1,1000000,450.0,"2,222"
Qassim region,baridah,alwajiean,20846846,9/6/2023,Residential,land,1,60000,315.0,190
Riyadh region,Riyadh,Al-Ma'athar,20195100,6/15/2023,Residential,land,1,750000,363.0,"2,066"
Makkah Region,Jeddah, Al-Rayyan ,20859001,9/7/2023,Residential,apartment,1,690000,205.07,"3,365"
Riyadh region,Riyadh, Al-Sahab ,20955848,9/16/2023,Residential,land,1,120900,300.0,403
Makkah Region,Jeddah, Alhambra ,20910101,9/11/2023,Residential,apartment,1,1400000,189.49,"7,388"
Eastern Region,Dammam, alsayf ,20944061,9/14/2023,Residential,land,1,1151739,650.7,"1,770"
Eastern Region,Dammam, alsayf ,20825911,9/4/2023,Residential,land,1,665800,392.0,"1,698"
Eastern Region,Dammam, aljamiea ,20596906,8/8/2023,Residential,apartment,1,1000000,201.66,"4,959"
Eastern Region,Dammam, aljamiea ,20072454,5/31/2023,Residential,apartment,1,855000,173.44,"4,930"
Tabuk region,Tabuk,Achrafieh,19877032,5/8/2023,Residential,land,1,210000,588.69,357
Makkah Region,Jeddah,jawharat alearus,20173342,6/12/2023,Residential,land,1,470000,615.5,764
Hail region,Hail, qafaar ,20321786,7/9/2023,Residential,land,1,75000,732.6,102
Makkah Region,Makkah, Al-ghasaala,19834874,5/2/2023,Residential,apartment,1,381056,109.93,"3,466"
Riyadh region,Riyadh,Al-Khair,20165876,6/11/2023,Residential,land,1,380000,260.0,"1,462"
Makkah Region,Jeddah, Miriykh ,20945293,9/14/2023,Residential,apartment,1,199000,88.51,"2,248"
Qassim region,baridah,Al-Basateen,20222856,6/20/2023,Residential,apartment,1,93630,148.78,629
Makkah Region,Makkah, Alhambra ,20408187,7/17/2023,Residential,apartment,1,650000,211.41,"3,075"
Riyadh region,Thadq, Al-Aqiq ,19987052,5/22/2023,Residential,land,1,200000,620.5,322
Riyadh region,Riyadh,Al Nada,20693358,8/20/2023,Residential,land,1,10500000,775.0,"13,548"
Riyadh region,Riyadh,Namar,20495485,7/27/2023,Residential,land,1,3929449,2101.38,"1,870"
Eastern Region,Dammam, Al-Shuala ,20617800,8/10/2023,Residential,land,1,482982,2414.91,200
Riyadh region,Riyadh,Al Nada,20154776,6/9/2023,Residential,land,1,7628550,2543.0,"3,000"
Tabuk region,Tabuk,  Al Faisaliah    ,20971678,9/18/2023,Residential,land,1,100000,138.0,725
Riyadh region,Riyadh, Al-Sahab ,20958124,9/16/2023,Residential,land,1,120900,300.0,403
Eastern Region,alkhabar, Al-Shirae,20538951,8/1/2023,Residential,land,1,1350000,434.75,"3,105"
Riyadh region,Riyadh,Laban,19802608,4/17/2023,Residential,apartment,1,200000,174.17,"1,148"
Makkah Region,Jeddah, Al-Marwa ,19836150,5/2/2023,Residential,apartment,1,350000,105.16,"3,328"
Riyadh region,Riyadh,alnarjis,19698399,4/3/2023,Residential,apartment,1,1200000,153.56,"7,815"
Riyadh region,Riyadh,Al-Malqa,21069028,9/27/2023,Residential,land,1,9450000,700.0,"13,500"
Najran region,Najran, aljarbuh ,20368621,7/11/2023,Residential,land,1,1800000,1696.0,"1,061"
Makkah Region,Jeddah, Al-Waha ,20631283,8/13/2023,Residential,apartment,1,530000,158.99,"3,334"
Makkah Region,Jeddah, Al Sawari ,20298625,7/4/2023,Residential,apartment,1,690000,207.07,"3,332"
Medina region,AL Madinah,Al-Mughaysila ,20192623,6/15/2023,Residential,house,1,1076480,225.72,"4,769"
Eastern Region,Al-Hofuf,Khalidiya,20092487,6/4/2023,Residential,land,1,350000,400.0,875
Makkah Region,Jeddah, Al Sawari ,19921170,5/14/2023,Residential,land,1,2865132,795.87,"3,600"
Medina region,AL Madinah,alkhalil,20833527,9/5/2023,Residential,land,1,3400000,4737.95,718
Riyadh region,Riyadh,Arid,19879830,5/8/2023,Residential,land,1,280000,450.0,622
Eastern Region,Hafar Al-Batin,Al-Morouj ,20307143,7/5/2023,Residential,land,1,200000,400.0,500
Hail region,Hail, almadayin ,20493905,7/27/2023,Residential,land,1,200000,595.5,336
Qassim region,Onaizah, Al-Manar ,20510222,7/30/2023,Residential,land,1,420000,764.7,549
Riyadh region,Riyadh, Al-Sahab ,20957987,9/16/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh,Al-Nakhil,20202208,6/18/2023,Residential,apartment,1,1300000,101.7,"12,783"
Riyadh region,Riyadh, Al-Wisam ,20954511,9/16/2023,Residential,land,1,120900,300.0,403
Makkah Region,Jeddah, Al-Marwa ,20447938,7/23/2023,Residential,apartment,1,679231,163.67,"4,150"
Eastern Region,alkhabar,Al-Azizia ,20013832,5/24/2023,Residential,land,1,1000000,437.5,"2,286"
Makkah Region,Makkah,Batha Quraish,20528626,7/31/2023,Residential,apartment,1,615000,173.83,"3,538"
Al-Jawf region,Tabarjal,Al-Morouj ,20710355,8/22/2023,Residential,land,1,100000,420.4,238
Riyadh region,Riyadh,East of Riyadh,20435949,7/20/2023,Residential,land,1,300000,745.5,402
Eastern Region,Dammam, Montazah ,20969641,9/18/2023,Residential,apartment,1,400000,142.46,"2,808"
Riyadh region,Riyadh, Al-Bayan ,20010878,5/24/2023,Residential,land,1,931450,372.58,"2,500"
Makkah Region,Jeddah, Al-Waha ,20604308,8/9/2023,Residential,apartment,1,540000,158.41,"3,409"
Eastern Region,Dammam, aljamiea ,20635466,8/13/2023,Residential,apartment,1,1000000,201.66,"4,959"
Eastern Region,Jubail, Jalmudah ,20182030,6/14/2023,Residential,land,1,247002,555.9,444
Asir region,Abha, Mahalla ,20923935,9/12/2023,Residential,land,1,470000,600.0,783
Qassim region,baridah,alshaqa,20442627,7/21/2023,Residential,land,1,130000,325.0,400
Eastern Region,Dammam, alzuhur ,20969296,9/18/2023,Residential,land,1,1232500,725.0,"1,700"
Makkah Region,Jeddah, Miriykh ,20261973,6/21/2023,Residential,apartment,1,459000,165.02,"2,781"
Qassim region,Albkirih,Bukiriya,20170502,6/12/2023,Residential,land,1,107336,347.38,309
Qassim region,baridah, Al-Batin ,20236400,6/20/2023,Residential,land,1,68663,325.0,211
Riyadh region,Riyadh, Al-Wisam ,20955599,9/16/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh, Al-Wisam ,20952162,9/15/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh,East of Riyadh,20948068,9/14/2023,Residential,land,1,300000,864.0,347
Riyadh region,Riyadh, Al-Wisam ,20953736,9/15/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh,Al-Khair,20125192,6/6/2023,Residential,land,1,475000,375.0,"1,267"
Eastern Region,alkhabar,Ain Al-Sih,20461730,7/24/2023,Residential,land,1,682777,279.39,"2,444"
Eastern Region,Hafar Al-Batin, Rabwa ,19841520,5/3/2023,Residential,land,1,300000,500.0,600
Riyadh region,Riyadh,Al-Khair,20115003,6/5/2023,Residential,land,1,900000,750.0,"1,200"
Eastern Region,Hasa,Hajar,20499429,7/27/2023,Residential,land,1,290000,625.0,464
Riyadh region,Riyadh,East of Riyadh,20689388,8/20/2023,Residential,land,1,460000,930.0,495
Qassim region,baridah, Salmiya ,20433356,7/20/2023,Residential,apartment,1,599947,248.15,"2,418"
Makkah Region,Jeddah,um hablayn,20596123,8/8/2023,Residential,apartment,1,962500,194.93,"4,938"
Eastern Region,Hasa,Hajar,20165875,6/11/2023,Residential,land,1,235000,405.0,580
Riyadh region,Riyadh,Munsiyah,19705992,4/4/2023,Residential,apartment,1,1138000,149.78,"7,598"
Makkah Region,Jeddah, Al-Rayyan ,19937079,5/17/2023,Residential,apartment,1,551562,161.12,"3,423"
Riyadh region,Riyadh,Mahdia,19998910,5/23/2023,Residential,land,1,850000,454.43,"1,870"
Makkah Region,Jeddah, Salhiya  ,20630661,8/13/2023,Residential,land,1,1700000,435.0,"3,908"
Riyadh region,Riyadh,Al-Sulai,20793041,8/31/2023,Residential,land,1,1596000,1050.0,"1,520"
Riyadh region,Hotat Bani Tamim, alsalam,20475520,7/25/2023,Residential,land,1,160000,875.0,183
Makkah Region,Jeddah, Al-Ghadeer  ,20774603,8/29/2023,Residential,land,1,700000,900.0,778
Makkah Region,Jeddah, Al-Rayyan ,21063895,9/27/2023,Residential,apartment,1,130000,90.38,"1,438"
Riyadh region,Riyadh,Al-Khair,19830674,5/1/2023,Residential,land,1,1230000,810.0,"1,519"
Riyadh region,Riyadh,Misfa,19929836,5/15/2023,Residential,land,1,230000,599.9,383
Medina region,AL Madinah, Ranuna,20616762,8/10/2023,Residential,land,1,635000,319.9,"1,985"
Riyadh region,Riyadh,Manfuha,19821927,4/30/2023,Residential,house,1,480000,147.0,"3,265"
Makkah Region,Taif, Mathmal,20413303,7/18/2023,Residential,land,1,1250000,1096.22,"1,140"
Riyadh region,Riyadh,alnarjis,20020887,5/25/2023,Residential,land,1,1465821,276.57,"5,300"
Riyadh region,Riyadh,Tuwaiq,20193533,6/15/2023,Residential,apartment,1,530000,151.26,"3,504"
Makkah Region,Jeddah, alnaeim ,20816588,9/3/2023,Residential,apartment,1,524000,138.22,"3,791"
Makkah Region,Jeddah,jawharat alearus,19733585,4/8/2023,Residential,land,1,250000,620.0,403
Riyadh region,Riyadh,Namar,20451674,7/23/2023,Residential,land,1,600000,828.0,725
Jazan region,Jizan, Al Rawabi ,20057469,5/30/2023,Residential,land,1,375000,500.0,750
Riyadh region,Riyadh, Al-Sahab ,20957386,9/16/2023,Residential,land,1,171055,424.46,403
Makkah Region,Jeddah, Al-Waha ,20910681,9/11/2023,Residential,apartment,1,150000,121.7,"1,233"
Eastern Region,Qatif,Abu Maan,20730003,8/24/2023,Residential,land,1,175500,400.0,439
Makkah Region,Jeddah, Al-Bayan ,20599222,8/8/2023,Residential,land,1,350000,917.37,382
Riyadh region,Riyadh,Arid,20523715,7/31/2023,Residential,land,1,465000,500.0,930
Makkah Region,Jeddah, Salhiya  ,20467726,7/24/2023,Residential,land,1,1000000,337.5,"2,963"
Riyadh region,Riyadh,Misfa,20283804,6/25/2023,Residential,land,1,415000,599.9,692
Qassim region,Riyadh Al-Khabara,Al-Shamaliya,19875261,5/8/2023,Residential,land,1,125000,681.0,184
Qassim region,Alrass,Al Hazm ,20010669,5/24/2023,Residential,land,1,200000,683.45,293
Eastern Region,Hasa,Hajar,21011318,9/21/2023,Residential,land,1,440000,745.5,590
Riyadh region,Riyadh, Al-Sahab ,20956924,9/16/2023,Residential,land,1,120900,300.0,403
Makkah Region,Jeddah, alfurusia ,20672473,8/17/2023,Residential,land,1,1000000,900.0,"1,111"
Makkah Region,Jeddah, Al-Rayyan ,20846354,9/6/2023,Residential,apartment,1,701528,199.39,"3,518"
Riyadh region,Riyadh,Badia,19752330,4/10/2023,Residential,land,1,1450000,346.12,"4,189"
Riyadh region,Riyadh,alnarjis,20493581,7/27/2023,Residential,land,1,5593500,990.0,"5,650"
Riyadh region,Riyadh,Badr,21083843,9/28/2023,Residential,land,1,415008,345.84,"1,200"
Riyadh region,Al Kharj, Granada ,20389875,7/14/2023,Residential,land,1,341600,602.5,567
Makkah Region,Jeddah, Miriykh ,21044835,9/26/2023,Residential,apartment,1,300000,112.61,"2,664"
Makkah Region,Jeddah, Salhiya  ,20166496,6/11/2023,Residential,land,1,500000,310.5,"1,610"
Northern border region,Arar, Mubarakiya ,20947412,9/14/2023,Residential,land,1,212187,606.25,350
Makkah Region,Makkah,Rabwat Mecca,20477810,7/25/2023,Residential,land,1,3500000,660.0,"5,303"
Medina region,AL Madinah,almasanie,19940750,5/21/2023,Residential,land,1,2832854,84.2,"33,644"
Riyadh region,Riyadh,Dirab,19952421,5/17/2023,Residential,land,1,360000,312.5,"1,152"
Riyadh region,Riyadh,Jasmine,20718996,8/23/2023,Residential,apartment,1,1969000,260.01,"7,573"
Al-Jawf region,Sakaka, alzuhur ,20122110,6/6/2023,Residential,land,1,400000,457.8,874
Makkah Region,Jeddah, Al-Waha ,20760812,8/28/2023,Residential,apartment,1,450000,131.84,"3,413"
Makkah Region,Jeddah, alqarinia ,20299276,7/4/2023,Residential,land,1,1250000,320.5,"3,900"
Riyadh region,Riyadh,East of Riyadh,20256440,6/21/2023,Residential,land,1,350000,750.0,467
Riyadh region,Riyadh,Eatiqa,20585006,8/7/2023,Residential,land,1,120000,158.95,755
Riyadh region,Riyadh, Al-Sahab ,20968129,9/17/2023,Residential,land,1,263455,653.74,403
Makkah Region,Jeddah,jawharat alearus,19733452,4/8/2023,Residential,land,1,360000,750.0,480
Makkah Region,Jeddah, musharafa ,19709374,4/11/2023,Residential,land,1,2700000,900.0,"3,000"
Riyadh region,Riyadh,East of Riyadh,19981509,5/21/2023,Residential,land,1,155000,462.03,335
Hail region,Hail,Badia,19834850,5/2/2023,Residential,land,1,50000,300.0,167
Eastern Region,Al-Hofuf, Mohandiseen ,19918170,5/14/2023,Residential,land,1,400000,516.25,775
Makkah Region,Jeddah, Al-Shirae,20454465,7/23/2023,Residential,land,1,1450000,625.0,"2,320"
Riyadh region,Riyadh,Namar,20917019,9/12/2023,Residential,land,1,330000,870.75,379
Riyadh region,Riyadh,Tuwaiq,20303507,7/5/2023,Residential,land,1,1512000,400.0,"3,780"
Riyadh region,Riyadh,Namar,21045287,9/26/2023,Residential,apartment,1,500025,118.64,"4,215"
Riyadh region,Riyadh,Namar,20049124,5/29/2023,Residential,land,1,900000,918.0,980
Riyadh region,Riyadh,Jasmine,20166370,6/11/2023,Residential,apartment,1,954000,121.31,"7,864"
Riyadh region,Riyadh, Al-Sahab ,20968146,9/17/2023,Residential,land,1,120900,300.0,403
Riyadh region,Al Kharj,Al-Afja ,20156766,6/10/2023,Residential,land,1,800000,5000.0,160
Eastern Region,aleuyun, dahiat alamir sultan,20942095,9/14/2023,Residential,land,1,305386,500.0,611
Riyadh region,Riyadh,Arid,20454809,7/23/2023,Residential,land,1,200000,400.0,500
Eastern Region,Hafar Al-Batin, Rawda ,19703255,4/4/2023,Residential,land,1,100000,400.0,250
Makkah Region,Jeddah, aalmajd ,20174130,6/12/2023,Residential,land,1,320000,895.22,357
Makkah Region,Jeddah,Ruwais ,19704024,4/4/2023,Residential,land,1,470000,215.77,"2,178"
Riyadh region,Riyadh,Namar,19963421,5/18/2023,Residential,land,1,450000,450.0,"1,000"
Riyadh region,Riyadh,Namar,20730929,8/24/2023,Residential,land,1,440000,375.0,"1,173"
Medina region,AL Madinah,Al-Nubala,20692947,8/20/2023,Residential,land,1,520000,400.0,"1,300"
Medina region,AL Madinah, Ranuna ,20784447,8/30/2023,Residential,land,1,1800000,772.69,"2,330"
Riyadh region,Riyadh,Namar,20072426,5/31/2023,Residential,land,1,1500000,1981.0,757
Eastern Region,Dammam,Uhud ,19831936,5/2/2023,Residential,land,1,400000,609.25,657
Riyadh region,Riyadh, Arqa ,21004505,9/20/2023,Residential,land,1,1200000,272.29,"4,407"
Riyadh region,Riyadh,Al-Khair,20773342,8/29/2023,Residential,land,1,545000,390.0,"1,397"
Eastern Region,Dammam, Al-Manar ,20770062,8/31/2023,Residential,land,1,1750000,314.36,"5,567"
Makkah Region,Jeddah, Al Sawari ,20899595,9/10/2023,Residential,apartment,1,650000,180.29,"3,605"
Makkah Region,Jeddah, Al-Marwa ,20069069,5/31/2023,Residential,apartment,1,460750,102.19,"4,509"
Riyadh region,Riyadh,East of Riyadh,19763358,4/11/2023,Residential,land,1,300000,864.0,347
Riyadh region,Riyadh,Al-Aqiq,20011163,5/24/2023,Residential,apartment,1,1135000,154.57,"7,343"
Jazan region,Jizan, alshaati ,20418725,7/18/2023,Residential,land,1,650000,563.0,"1,155"
Hail region,Hail, almadayin ,20391620,7/16/2023,Residential,land,1,49000,300.0,163
Makkah Region,khulays,Alsalam ,19782024,4/16/2023,Residential,land,1,200000,600.0,333
Riyadh region,Riyadh,Yarmouk,20222056,6/19/2023,Residential,land,1,2200000,300.0,"7,333"
Makkah Region,Jeddah, aldura ,20229838,6/20/2023,Residential,land,1,600000,750.0,800
Riyadh region,Riyadh,Badr,20002371,5/23/2023,Residential,land,1,360000,400.0,900
Qassim region,baridah, Al-Farouq ,19971760,5/19/2023,Residential,land,1,555000,750.0,740
Makkah Region,Jeddah, Al-Waha ,20724108,8/23/2023,Residential,apartment,1,470000,154.78,"3,037"
Riyadh region,Riyadh,Sulaymaniyah,21011293,9/21/2023,Residential,apartment,1,1380000,166.85,"8,271"
Riyadh region,Al Kharj, Al-Khuzama ,19712224,4/5/2023,Residential,apartment,1,100000,184.39,542
Makkah Region,Jeddah,alkhalij ,20279493,6/24/2023,Residential,land,1,770270,900.0,856
Eastern Region,Dammam,King Fahd,20314243,7/6/2023,Residential,land,1,800000,625.0,"1,280"
Eastern Region,alkhabar,Al-Azizia ,20013906,5/24/2023,Residential,land,1,650000,470.0,"1,383"
Riyadh region,Riyadh,Badr,20302326,7/5/2023,Residential,land,1,368000,400.0,920
Riyadh region,Riyadh,Misfa,20011471,5/24/2023,Residential,land,1,250000,400.0,625
Riyadh region,Riyadh,eakaaz,20071133,5/31/2023,Residential,land,1,793920,620.25,"1,280"
Eastern Region,Hasa,Al-Nakhil,20557150,8/3/2023,Residential,land,1,280000,420.0,667
Eastern Region,Dammam,Dhahran industrial ,20259829,6/21/2023,Residential,land,1,840000,700.0,"1,200"
Eastern Region,Dammam,alaskan,20168990,6/12/2023,Residential,apartment,1,200000,254.88,785
Eastern Region,alkhabar,Al Thuqbah ,20454241,7/23/2023,Residential,land,1,1500000,325.58,"4,607"
Makkah Region,Makkah,Batha Quraish City approved,20208068,6/19/2023,Residential,apartment,1,730000,230.02,"3,174"
Riyadh region,Riyadh,Munsiyah,20854843,9/6/2023,Residential,apartment,1,619000,115.05,"5,380"
Makkah Region,Jeddah, Sulaymaniyah ,19891781,5/9/2023,Residential,apartment,1,550000,251.29,"2,189"
Riyadh region,Riyadh, Al-Wisam ,20952902,9/15/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh,Al-Khair,20290329,7/2/2023,Residential,land,1,630000,520.27,"1,211"
Jazan region,Jizan, Rawda ,20643783,8/14/2023,Residential,land,1,100000,524.87,191
Eastern Region,Dammam, alsayf ,19777968,4/13/2023,Residential,land,1,1138725,650.7,"1,750"
Riyadh region,Riyadh, alqayrawan,20604598,8/9/2023,Residential,apartment,1,650963,166.89,"3,901"
Riyadh region,Riyadh,Deira,20933074,9/14/2023,Residential,land,1,393300,207.0,"1,900"
Jazan region,Jizan,Nasiriyah 4,20566905,8/5/2023,Residential,land,1,200000,1044.7,191
Makkah Region,Jeddah, Al-Fayhaa ,21085431,9/28/2023,Residential,apartment,1,774562,204.39,"3,790"
Makkah Region,Jeddah, Al-Waha ,20123262,6/6/2023,Residential,apartment,1,480000,153.52,"3,127"
Riyadh region,Riyadh, Al-Wisam ,20953697,9/15/2023,Residential,land,1,120900,300.0,403
Asir region,Abha,Abha Al-Sharaf,20605736,8/9/2023,Residential,land,1,832618,645.0,"1,291"
Riyadh region,Riyadh,alnarjis,20144293,6/8/2023,Residential,land,1,3440071,649.07,"5,300"
Makkah Region,Jeddah, alwidad ,19890887,5/9/2023,Residential,land,1,300000,900.0,333
Riyadh region,Riyadh,East of Riyadh,19893715,5/10/2023,Residential,land,1,400000,956.25,418
Makkah Region,Taif, alqayam ,20076127,6/1/2023,Residential,land,1,90000,398.41,226
Riyadh region,Riyadh,Badr,20382854,7/13/2023,Residential,land,1,320712,490.0,655
Qassim region,baridah, Alsafra,20499711,7/27/2023,Residential,land,1,50000,400.0,125
Makkah Region,Jeddah, Raghama ,20876503,9/9/2023,Residential,apartment,1,310000,128.87,"2,406"
Makkah Region,Jeddah,jawharat alearus,20549204,8/2/2023,Residential,land,1,700000,900.0,778
Riyadh region,Riyadh,Qurtuba,20693078,8/20/2023,Residential,land,1,2749950,567.0,"4,850"
Riyadh region,Riyadh,ashbilya,20007364,5/24/2023,Residential,apartment,1,820000,152.13,"5,390"
Riyadh region,Riyadh,Al-Khair,19991129,5/22/2023,Residential,land,1,395000,375.0,"1,053"
Riyadh region,Riyadh,Namar,20071634,5/31/2023,Residential,land,1,330000,225.0,"1,467"
Riyadh region,Riyadh,East of Riyadh,20272743,6/22/2023,Residential,land,1,250000,750.0,333
Riyadh region,Riyadh,Mahdia,20538891,8/1/2023,Residential,land,1,950000,450.0,"2,111"
Medina region,AL Madinah,King Fahd,20104685,6/5/2023,Residential,apartment,1,321037,100.19,"3,204"
Riyadh region,Riyadh,Almanakh,19900641,5/10/2023,Residential,land,1,600000,800.0,750
Riyadh region,Aflaj, King Abdullah,20711107,8/22/2023,Residential,land,1,70000,660.0,106
Riyadh region,Riyadh, Arqa ,19763916,4/11/2023,Residential,land,1,1400000,444.0,"3,153"
Riyadh region,Riyadh,Badr,20553631,8/3/2023,Residential,apartment,1,377253,131.46,"2,870"
Medina region,AL Madinah,King Fahd,20105218,6/5/2023,Residential,apartment,1,321037,96.81,"3,316"
Makkah Region,Jeddah, Al-Marwa ,19824580,4/30/2023,Residential,apartment,1,850000,212.4,"4,002"
Qassim region,Albadayie, Al-Nakhil ,20259747,6/21/2023,Residential,apartment,1,162155,156.52,"1,036"
